password,length,has_lower,has_upper,has_digit,has_symbol,unique_ratio,longest_run,has_year_like,has_common_word,has_keyboard_walk,has_sequential_digits,entropy_bits,strength_score,label
(5u85HF:J%!;EJ4jKE,18,1,1,1,1,0.8333,1,0,0,0,0,117.983,117.983,Strong
admin,5,1,0,0,0,1.0,1,0,1,0,0,23.502,5.502,Weak
123456782503,12,0,0,1,0,0.75,1,0,1,1,1,39.863,5.863,Weak
iloveyou8890,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
maya2016#,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
Ahmed2026#,10,1,1,1,1,0.9,1,1,0,0,0,65.546,55.546,Medium
X1&*]C!CI3!dXR/|,16,1,1,1,1,0.8125,1,0,0,0,0,104.873,104.873,Strong
6iNIb6zLK,9,1,1,1,0,0.8889,1,0,0,0,0,53.588,53.588,Medium
i3Dldqyu,8,1,1,1,0,1.0,1,0,0,0,0,47.634,47.634,Medium
admin6211,9,1,0,1,0,0.8889,2,0,1,0,0,46.529,28.529,Weak
k8c*gSCifdF,11,1,1,1,1,1.0,1,0,0,0,0,72.1,72.1,Strong
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
Maya201912,10,1,1,1,0,0.7,1,1,0,0,0,59.542,49.542,Medium
Mohamed2000@,12,1,1,1,1,0.8333,3,1,0,0,0,78.655,62.655,Medium
abc1236149,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
j=;FnM[p_fS&2?V,15,1,1,1,1,1.0,1,0,0,0,0,98.319,98.319,Strong
dragon6882,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
admin,5,1,0,0,0,1.0,1,0,1,0,0,23.502,5.502,Weak
UH9PrNZ6I,9,1,1,1,0,1.0,1,0,0,0,0,53.588,53.588,Medium
ULru2p17fr4,11,1,1,1,0,0.9091,1,0,0,0,0,65.496,65.496,Medium
noor20261,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
qwerty4232,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
password3130,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
iloveyou3937,12,1,0,1,0,0.8333,1,0,1,0,0,62.039,44.039,Medium
Noor2018123,11,1,1,1,0,0.7273,2,1,0,0,0,65.496,55.496,Medium
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
monkey9068,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
football5764,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
Omar2006!,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
yB9J=^[KmyLDUw,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
football4494,12,1,0,1,0,0.6667,2,0,1,0,0,62.039,44.039,Medium
Lq:!nb+K894RxgG9oiZ!,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
qwerty6818,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
Maya2023#,9,1,1,1,1,0.7778,1,1,0,0,0,58.991,48.991,Medium
adam20091,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
nOnqQfkp,8,1,1,0,0,0.875,1,0,0,0,0,45.604,45.604,Medium
1234566693,10,0,0,1,0,0.7,3,0,1,1,1,33.219,0.0,Weak
DKK6jDHz2o*,11,1,1,1,1,0.8182,2,0,0,0,0,72.1,72.1,Strong
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
N+K4p7MZ,8,1,1,1,1,1.0,1,0,0,0,0,52.437,52.437,Medium
*@4k[f3P]GdlD|+=c|I+,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
123456787245,12,0,0,1,0,0.6667,1,0,1,1,1,39.863,5.863,Weak
monkey8056,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
adam2011@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
0@K?Z(e6lOGPoZ$a?,17,1,1,1,1,0.8824,1,0,0,0,0,111.428,111.428,Strong
0gy%U}@;4gAI(qK4!pd,19,1,1,1,1,0.8947,1,0,0,0,0,124.537,124.537,Strong
"uN(b(0lCo7p,t@L",15,1,1,1,1,0.9333,1,0,0,0,0,98.319,98.319,Strong
Omar2016123,11,1,1,1,0,0.8182,1,1,0,0,0,65.496,55.496,Medium
Noor2025!,9,1,1,1,1,0.7778,2,1,0,0,0,58.991,48.991,Medium
riJ1R#IaKM=-?!t5&9SQ,20,1,1,1,1,1.0,1,0,0,0,0,131.092,131.092,Strong
adam2019@,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
+XD0fO8WX?.t@eq,15,1,1,1,1,0.9333,1,0,0,0,0,98.319,98.319,Strong
lina1996123,11,1,0,1,0,0.8182,2,1,0,0,0,56.869,46.869,Medium
welcome2361,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
j8HR}Y.kQ|&WO;,14,1,1,1,1,1.0,1,0,0,0,0,91.764,91.764,Strong
cNepOR6soVf,11,1,1,1,0,1.0,1,0,0,0,0,65.496,65.496,Medium
Mohamed1996#,12,1,1,1,1,0.9167,2,1,0,0,0,78.655,68.655,Medium
password919,11,1,0,1,0,0.8182,2,0,1,0,0,56.869,38.869,Medium
adam1999!,9,1,0,1,1,0.6667,3,1,0,0,0,54.787,38.787,Medium
Sara2000!,9,1,1,1,1,0.6667,3,1,0,0,0,58.991,42.991,Medium
@-sD7:G6G/b7K|*,15,1,1,1,1,0.8667,1,0,0,0,0,98.319,98.319,Strong
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
:2G6MzX9nEW+T+LL,16,1,1,1,1,0.875,2,0,0,0,0,104.873,104.873,Strong
dragon0132,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
]@KD]TC:y}G2,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
4eUqlLP1,8,1,1,1,0,1.0,1,0,0,0,0,47.634,47.634,Medium
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
^#IvG9LRo7jsC||Y),17,1,1,1,1,0.9412,2,0,0,0,0,111.428,111.428,Strong
adam1990@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
omar2014123,11,1,0,1,0,0.8182,1,1,0,0,0,56.869,46.869,Medium
maya2020,8,1,0,1,0,0.625,1,1,0,0,0,41.359,31.359,Weak
"{C,i:7M.0orfeM@om",17,1,1,1,1,0.8824,1,0,0,0,0,111.428,111.428,Strong
letmein7432,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
VUj4APg1FNA8,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
"VB44EUmV*,Th",12,1,1,1,1,0.8333,2,0,0,0,0,78.655,78.655,Strong
maya1997123,11,1,0,1,0,0.7273,2,1,0,0,0,56.869,46.869,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
Ahmed1993123,12,1,1,1,0,0.75,2,1,0,0,0,71.45,61.45,Medium
i(A=BDQs[aJsq*2,15,1,1,1,1,0.9333,1,0,0,0,0,98.319,98.319,Strong
password5869,12,1,0,1,0,0.9167,2,0,1,0,0,62.039,44.039,Medium
Ahmed2001@,10,1,1,1,1,0.9,2,1,0,0,0,65.546,55.546,Medium
i85U$n5#Cf%M,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
ahmed1993#,10,1,0,1,1,0.9,2,1,0,0,0,60.875,50.875,Medium
mohamed202112,13,1,0,1,0,0.6923,2,1,0,0,0,67.209,57.209,Medium
1234562430,10,0,0,1,0,0.7,1,0,1,1,1,33.219,0.0,Weak
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
lina20141,9,1,0,1,0,0.8889,1,1,0,0,0,46.529,36.529,Medium
adam1996123,11,1,0,1,0,0.7273,2,1,0,0,0,56.869,46.869,Medium
B35D0R6Z1mO2O/GVt8il,20,1,1,1,1,0.95,1,0,0,0,0,131.092,131.092,Strong
VVxZiJdL,8,1,1,0,0,0.875,2,0,0,0,0,45.604,45.604,Medium
Q/p0T/2gK[NTn+#Bt?9C,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
xhWrKoZB2J,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
d]?IdxINRSaxs_?Zis:1,20,1,1,1,1,0.75,1,0,0,0,0,131.092,131.092,Strong
6RuVNP+kg,9,1,1,1,1,1.0,1,0,0,0,0,58.991,58.991,Medium
monkey1336,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
Adam20211,9,1,1,1,0,0.7778,2,1,0,0,0,53.588,43.588,Medium
letmein7043,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
dragon8633,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
qwerty9819,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
abc123,6,1,0,1,0,1.0,1,0,1,0,0,31.02,13.02,Weak
pa@3wqW&D#,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
lina1994#,9,1,0,1,1,0.8889,2,1,0,0,0,54.787,44.787,Medium
password1275,12,1,0,1,0,0.9167,2,0,1,0,0,62.039,44.039,Medium
Adam2016@,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
admin7538,9,1,0,1,0,1.0,1,0,1,0,0,46.529,28.529,Weak
3nF3=Z^kYNRCQ,13,1,1,1,1,0.9231,1,0,0,0,0,85.21,85.21,Strong
hHGm5Xww,8,1,1,1,0,0.875,2,0,0,0,0,47.634,47.634,Medium
sGzwtjw@7,9,1,1,1,1,0.8889,1,0,0,0,0,58.991,58.991,Medium
74KPONu3OujC,12,1,1,1,0,0.8333,1,0,0,0,0,71.45,71.45,Strong
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
#jN75ehVKjl#,12,1,1,1,1,0.8333,1,0,0,0,0,78.655,78.655,Strong
ahmed2018123,12,1,0,1,0,0.8333,1,1,0,0,0,62.039,52.039,Medium
monkey2471,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
lina19951,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
football7199,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
sara2013@,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
lina1993123,11,1,0,1,0,0.7273,2,1,0,0,0,56.869,46.869,Medium
admin6333,9,1,0,1,0,0.7778,3,0,1,0,0,46.529,22.529,Weak
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
sSNYqkN-W,9,1,1,0,1,0.8889,1,0,0,0,0,57.531,57.531,Medium
QS18VR6HfP,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
UNxBR!yCrtjL,12,1,1,0,1,1.0,1,0,0,0,0,76.708,76.708,Strong
I1V4HcQv,8,1,1,1,0,1.0,1,0,0,0,0,47.634,47.634,Medium
[Wtux}v4f0U|E4,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
EN8yV=47KW#,11,1,1,1,1,1.0,1,0,0,0,0,72.1,72.1,Strong
sara2002123,11,1,0,1,0,0.6364,2,1,0,0,0,56.869,46.869,Medium
",9V(n%pKkuI5",12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
3lC5Sd1gY#VEXk,14,1,1,1,1,1.0,1,0,0,0,0,91.764,91.764,Strong
ahmed2010,9,1,0,1,0,0.8889,1,1,0,0,0,46.529,36.529,Medium
K8r85akcG,9,1,1,1,0,0.8889,1,0,0,0,0,53.588,53.588,Medium
123456789975,12,0,0,1,0,0.75,2,0,1,1,1,39.863,5.863,Weak
Omar2005@,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
mohamed20211,12,1,0,1,0,0.75,2,1,0,0,0,62.039,52.039,Medium
sL2aTE=1xk^U,12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
letmein8316,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
welcome6338,11,1,0,1,0,0.8182,2,0,1,0,0,56.869,38.869,Medium
password1106,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
T*Rw79xri6,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
qwerty3268,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
abc1238897,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
dragon5848,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
IpV3Z4XRx@@V%Ik2k,17,1,1,1,1,0.7647,2,0,0,0,0,111.428,111.428,Strong
Sara2024@,9,1,1,1,1,0.7778,1,1,0,0,0,58.991,48.991,Medium
dragon7305,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
wCcU36wNB,9,1,1,1,0,0.8889,1,0,0,0,0,53.588,53.588,Medium
password6655,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
sara1991!,9,1,0,1,1,0.6667,2,1,0,0,0,54.787,44.787,Medium
iEUUX+et5VV,11,1,1,1,1,0.8182,2,0,0,0,0,72.1,72.1,Strong
mohamed2026!,12,1,0,1,1,0.8333,1,1,0,0,0,73.05,63.05,Medium
Omar2005,8,1,1,1,0,0.875,2,1,0,0,0,47.634,37.634,Medium
letmein9202,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
abc123,6,1,0,1,0,1.0,1,0,1,0,0,31.02,13.02,Weak
monkey8047,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
1234567292,10,0,0,1,0,0.8,1,0,1,1,1,33.219,0.0,Weak
TeJIs5t2kT,10,1,1,1,0,0.9,1,0,0,0,0,59.542,59.542,Medium
GohmYipYF,9,1,1,0,0,0.8889,1,0,0,0,0,51.304,51.304,Medium
letmein7657,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
1234566523,10,0,0,1,0,0.6,2,0,1,1,1,33.219,0.0,Weak
A0KeiuPeCDRH,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
letmein,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
12345678907,11,0,0,1,0,0.9091,1,0,1,1,1,36.541,2.541,Weak
Omar2000!,9,1,1,1,1,0.7778,3,1,0,0,0,58.991,42.991,Medium
H5s2fqmO9J,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
dragon8740,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
sara1999!,9,1,0,1,1,0.6667,3,1,0,0,0,54.787,38.787,Medium
+fdkf=HA=1d@,12,1,1,1,1,0.75,1,0,0,0,0,78.655,78.655,Strong
"L,M9FZM6jhu4197AR]sO",20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
SZqV$)nOE7pI5Fsmg,17,1,1,1,1,1.0,1,0,0,0,0,111.428,111.428,Strong
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
sara20101,9,1,0,1,0,0.6667,1,1,0,0,0,46.529,36.529,Medium
123456788433,12,0,0,1,0,0.6667,2,0,1,1,1,39.863,5.863,Weak
Omar2021,8,1,1,1,0,0.875,1,1,0,0,0,47.634,37.634,Medium
noor2005!,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
abc1237710,10,1,0,1,0,0.8,2,0,1,0,0,51.699,33.699,Weak
mohamed2017!,12,1,0,1,1,0.9167,1,1,0,0,0,73.05,63.05,Medium
Zg+-yU_KjX#,11,1,1,0,1,1.0,1,0,0,0,0,70.315,70.315,Strong
omar1997!,9,1,0,1,1,0.8889,2,1,0,0,0,54.787,44.787,Medium
lina2025@,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
letmein659,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
football7761,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
Sara20101,9,1,1,1,0,0.6667,1,1,0,0,0,53.588,43.588,Medium
omar20111,9,1,0,1,0,0.7778,3,1,0,0,0,46.529,30.529,Weak
Omar2020123,11,1,1,1,0,0.7273,1,1,0,0,1,65.496,47.496,Medium
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
ahmed2020@,10,1,0,1,1,0.8,1,1,0,0,0,60.875,50.875,Medium
UdLEkHOUNX1y,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
dragon9380,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
password6861,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
maya20161,9,1,0,1,0,0.7778,1,1,0,0,0,46.529,36.529,Medium
r%A)P?9^WOw6,12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
"*T|,H{9yFJ)MCMKA!",17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
admin4480,9,1,0,1,0,0.8889,2,0,1,0,0,46.529,28.529,Weak
dragon6464,10,1,0,1,0,0.8,1,0,1,0,0,51.699,33.699,Weak
LfKkS4.G9Bz&I),14,1,1,1,1,1.0,1,0,0,0,0,91.764,91.764,Strong
EFg^CDgm0,9,1,1,1,1,0.8889,1,0,0,0,0,58.991,58.991,Medium
welcome2252,11,1,0,1,0,0.7273,2,0,1,0,0,56.869,38.869,Medium
"0.89.zKPK,hl.+",14,1,1,1,1,0.7857,1,0,0,0,0,91.764,91.764,Strong
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
1weY@xLebM_]nQ,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
dragon8092,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
"IyoQu6,GxbRL_|yw{:Z",19,1,1,1,1,0.9474,1,0,0,0,0,124.537,124.537,Strong
Zmxr9PFaHXE5,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
=bHUEhp7Nu,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
omar199712,10,1,0,1,0,0.8,2,1,0,0,0,51.699,41.699,Medium
monkey2188,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
noor2024123,11,1,0,1,0,0.7273,2,1,0,0,0,56.869,46.869,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
mohamed2023#,12,1,0,1,1,0.8333,1,1,0,0,0,73.05,63.05,Medium
mohamed1993123,14,1,0,1,0,0.7143,2,1,0,0,0,72.379,62.379,Medium
sara2000@,9,1,0,1,1,0.6667,3,1,0,0,0,54.787,38.787,Medium
maya2021,8,1,0,1,0,0.75,1,1,0,0,0,41.359,31.359,Weak
ahmed2019!,10,1,0,1,1,1.0,1,1,0,0,0,60.875,50.875,Medium
ahmed2025#,10,1,0,1,1,0.9,1,1,0,0,0,60.875,50.875,Medium
password0049,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
1234565644,10,0,0,1,0,0.6,2,0,1,1,1,33.219,0.0,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
welcome6698,11,1,0,1,0,0.8182,2,0,1,0,0,56.869,38.869,Medium
W5WWk*rSpw&,11,1,1,1,1,0.8182,2,0,0,0,0,72.1,72.1,Strong
Sara2004123,11,1,1,1,0,0.7273,2,1,0,0,0,65.496,55.496,Medium
abc1238920,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
Maya2005#,9,1,1,1,1,0.7778,2,1,0,0,0,58.991,48.991,Medium
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
dragon256,9,1,0,1,0,1.0,1,0,1,0,0,46.529,28.529,Weak
1234567314,10,0,0,1,0,0.7,1,0,1,1,1,33.219,0.0,Weak
fZ4D*Bhr,8,1,1,1,1,1.0,1,0,0,0,0,52.437,52.437,Medium
omar2004123,11,1,0,1,0,0.8182,2,1,0,0,0,56.869,46.869,Medium
lina2005@,9,1,0,1,1,0.8889,2,1,0,0,0,54.787,44.787,Medium
"C0MJh)=w;|2)@gS,/W^O",20,1,1,1,1,0.95,1,0,0,0,0,131.092,131.092,Strong
Wx&8ECMs7h-,11,1,1,1,1,1.0,1,0,0,0,0,72.1,72.1,Strong
Adam20251,9,1,1,1,0,0.8889,1,1,0,0,0,53.588,43.588,Medium
qwerty1295,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
1mdryRMM,8,1,1,1,0,0.875,2,0,0,0,0,47.634,47.634,Medium
1234569626,10,0,0,1,0,0.7,1,0,1,1,1,33.219,0.0,Weak
36vt96an7,9,1,0,1,0,0.8889,1,0,0,0,0,46.529,46.529,Medium
football7846,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
